agency_id,route_id,route_long_name,route_short_name,route_desc,route_type
DIMTS,309,215STLDOWN,215STLDOWN,Bawana Sec 5 Cluster Depot to Bawana JJ Colony Terminal,3
DIMTS,310,215STLDOWN2,215STLDOWN2,Bawana Sec 5 Cluster Depot to Bawana JJ Colony Terminal,3
DIMTS,311,215STLUP,215STLUP,Bawana JJ Colony Terminal to Bawana Sec 5 Cluster Depot,3
DIMTS,312,215STLUP2,215STLUP2,Bawana JJ Colony Terminal to Bawana Sec 5 Cluster Depot,3
DIMTS,313,215UP,215UP,New Delhi Railway Station Gate 2 to Bawana JJ Colony Terminal,3
DIMTS,314,217DOWN,217DOWN,Gokul Puri Terminal to Old Delhi Railway Station (T),3
DIMTS,315,217UP,217UP,Old Delhi Railway Station to Gokul Puri Terminal / Gokul Puri,3
DIMTS,317,218LSTLDOWN,218LSTLDOWN,Hari Nagar Depot to Inderpuri Krishi Kunj (T),3
DIMTS,318,218LSTLUP,218LSTLUP,Inderpuri Krishi Kunj (T) to Hari Nagar Depot,3
DIMTS,320,219LSTLDOWN,219LSTLDOWN,Hiran Kudna Crossing to Rani Khera Depot 3,3
DIMTS,321,219LSTLUP,219LSTLUP,Rani Khera Depot 3 to Hiran Kudna Crossing,3
DIMTS,337,236EDOWN,236EDOWN,Punjabi Bagh Terminal (Rohtak Road) / Punjabi Bagh Railway Colony to ISBT Anand Vihar Terminal,3
DIMTS,338,236EUP,236EUP,ISBT Anand Vihar Terminal to Punjabi Bagh East (T),3
DIMTS,340,237ADOWN,237ADOWN,Babarpur Ext / Maujpur Crossing to Azadpur Terminal,3
DIMTS,341,237AUP,237AUP,Azadpur Metro Station / Terminal to Babarpur Ext Terminal,3
DIMTS,342,237DOWN,237DOWN,Babarpur Ext / Maujpur Crossing to Jahangirpuri EBlock,3
DIMTS,345,237UP,237UP,E Block Jahangir Puri Terminal to Babarpur Ext Terminal,3
DIMTS,352,254ADOWN,254ADOWN,Qamruddin Nagar Terminal to Bhajanpura,3
DIMTS,353,254AUP,254AUP,Bhajanpura to Qamruddin Nagar Terminal,3
DIMTS,354,254DOWN,254DOWN,Qamruddin Nagar Terminal to Babarpur Ext Terminal,3
DIMTS,355,254UP,254UP,Babarpur Ext / Maujpur Crossing to Qamruddin Nagar Terminal,3
DIMTS,371,261LNKSTLDOWN,261LNKSTLDOWN,Rajghat Depot to ISBT Sarai Kale Khan,3
DIMTS,372,261LNKSTLUP,261LNKSTLUP,Sarai Kale Khan ISBT to Rajghat Depot,3
DIMTS,374,267DOWN,267DOWN,Kalyan Puri Terminal to Ajmeri Gate / Kamla Market,3
DIMTS,375,267UP,267UP,Ajmeri Gate / Kamla Market to Kalyan Puri Terminal,3
DIMTS,380,274ADOWN,274ADOWN,Nizamuddin Railway Station to Babarpur Ext / Maujpur Crossing,3
DIMTS,3123,274ASTLDOWN,274ASTLDOWN,Shahstri Park DMRC Depot to Seelampur Gt Road ,3
DIMTS,3124,274ASTLUP,274ASTLUP,Seelampur  /Seelampur Metro Station to Shahstri Park DMRC Depot,3
DIMTS,381,274AUP,274AUP,Babarpur Ext Terminal to Nizamuddin Railway Station,3
DIMTS,383,274EXTDOWN,274EXTDOWN,Nizamuddin Railway Station to Yamuna Vihar C-Block / Yamuna Vihar Cluster Depot,3
DIMTS,384,274EXTUP,274EXTUP,Yamuna Vihar Cluster Depot to Nizamuddin Railway Station,3
DIMTS,3125,274LNIKSTLDOWN,274LNIKSTLDOWN,Shahstri Park DMRC Depot to BabarPur Extension Terminal,3
DIMTS,3126,274LNIKSTLUP,274LNIKSTLUP,BabarPur Extension Terminal to Shahstri Park DMRC Depot,3
